index,discriptions,mapped_rating
52, e xay đá mà bị gãy  không xay dc ạ ,1
53, sản phẩm rất đẹp  y hình và chất lượng rất tuyệt vời  mik mua một lúc  đôi luôn  mik sẽ ủng hộ shop dài dài  ,0
54, sản phẩm không an toàn quá nguy hiểm cho người sử dụng  không đáng để mua sp này  quá sai lầm khi mua ,1
55, thời gian giao hàng lâu  đặt mũ len mèo màu ghi xám lại giao màu vàng  khẩu trang xô mỏng tang k biết có phải do giá sale k mà chất lượng chán thế  ,1
56,  chất lượng sản phẩm tuyệt vời hơi cũ tí nhưng mượt lắm thanks shop ,0
57, sản phẩm k như mình mong đợi  k cài dc đồ chơi vào  ghế hơi bất tiện khi sử dụng ,1
58, hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui   ,1
59,  đóng gói sản phẩm rất chắc chắn  sản phẩm rất dày dặn  thời gian giao hàng rất nhanh  ,0
60, áo vs giày siêu yêu ạ ,0
61, mang đi công tác rất tiện lợi dùng rất mượt  không lo bị trầy xước ,0
62, chất lượng quá kém giao hàng không đúng mẫu   khuyên mọi người không nên mua hàng của shop  ,1
63, đặt lần  rồi mà giao hàng lâu quá vậy     ,1
65, đặt tat bé giao tat nguoi lon  giao lộn hỏi k tl  ,1
66, mình thoa vào ngọn tóc thấy tóc bị rít nên chỉ thoa vào phần chân mùi thơm ,1
67,  giao hàng rất nhanh     gói hàng siêu kĩ luôn  son thơm mùi sữa cacao ghiền luôn á   vỏ son nhìn cưng ghê màu son siêu đẹp chất son rất lì như son kem nên dưỡng kĩ môi vs tẩy tbc mới đánh xinh đc       ,0
68, đánh   vì không có   đặt  gói mony l t thẻ ở tp hcm nhưng  tuần mới nhận đc gói hàng bằng  túi nilong do người nhà nhận dùm khi mình kiểm tra thì thấy có  gói nên yc hoàn tiền và yc gọi dt yc shop giao  gói thiếu shop hứa và đợi đến ngày cuối cùng gửi trả hàng thì không thấy đâu  ,1
69,  thời gian giao hàng rất nhanh shop phuc vụ quá qua tệ hang  bị hư hại ma hong lời giai quyết  người khác da the ma nguoi kia cũng vay hong chu đáo can xem xet lại khi mau hàng shop nay nha cac ban ,0
71, kem dùng ổn mỗi tội hơi tối do với da mình ,0
72, đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tốt ,0
73,  god value for money god value for money fast delivery excelent service by seler ,0
74,  chất lượng sản phẩm tốt đóng gói sản phẩm rất cẩn thận và chắc chắn thời gian giao hàng rất nhanh ,0
75, chị chủ tư vấn rất nhiệt tình 😆😆 hình dáng và chất lượng sản phẩm tuyệt vời ,0
76, shop đăng ảnh một đằng sản phẩm một lẻo  bán cáp thì úp hình cái cáp thôi chứ up cả cục sạc gây nhầm lẫn cho khách hàng là combo cáp  dây sạc  tôi mua liền  cái lúc nhận hàng mới ngớ người ra bị mua đắt  chất lượng sản phẩm chưa rõ  ,1
77,  chất lượng sản phẩm tuyệt vời  shop tư vấn nhiệt tình ạ   sẽ ủng hộ shop dài dài  ,0
78,  por delivery sped por product quality ,1
79, đúng là tiền nào của đó  không ngon mùi kì kì  không thơm như lạp xưởng bình thường  thất vọng vô cùng    ,1
80,  chất lượng sản phẩm tuyệt vời  đóng gói sản phẩm rất đẹp và chắc chắncám ơn shop đã tặng quà  sẽ ủng hộ tiếp    ,0
81, giày ok lắm shop ship hàng nhanh nữa ❤️ ,0
82,  chất lượng sản phẩm tuyệt vời rất  ok  ,0
83, giày chắc chắn   đế hơi bẩn tí nhưng chắc sẽ lau được   giao hàng nhanh ,0
84, hàng giao thiếu kêu gửi bù cho mà cả tháng chưa thấy gửi  nhắn tin  không trả lời ,1
85, shop hết hàng nhưng không báo  mình đặt  cặp thế mà gởi chỉ  ốp kèm theo tiền ốp kja  thanh toán mở hàng ra xem thì chỉ có  ốp và số tiền đã thanh toán  xài cặp thế giờ có  ốp thì sao đây  mình chỉ góp ý vậy thôi  ,1
86, giao  không đúng đồ  tôi đã bị lừa  ,1
87, hk giong mẩu gì cả da vay bi lỗi nua  ,1
88, tương đối hài lòng giày chắc chắn êm nhưng đường may chỉ thừa còn nói chung ok với giá này    thanks shop nha ,0
89, dép xinh  chủ shop rep tn rất nhiệt tình  chúc shop buôn may bán đắt ạ  ,0
90, mua đ có  lỗ xỏ dây ib shop  không trả lời giày rộng mn cân nhắc trc khi mua   ,1
91, tốt tgian giao hàng nhanh ,0
92, nên mua nha mọi người ,0
93, thấy ghi đc tặng kèm tã quần đến khi nhận hàng thì k thấy hỏi shop thì nói k có  ,1
94,  shop phục vụ rất kém  đã phải nhắn tin hỏi cẩn thận là còn k  shop nói còn mà gửi màu sai   ,1
95, shop phục vụ rất tốt  sản phẩm đúng với thông tin đăng tải  ,0
96, đặt combo mà shop chỉ giao bánh gạo và sốt k thấy phô mai và chả cá đâucó trả lại tiền nhưng mua combo để có đầy đủ vâyh mà thiếu chả báo gì ib thì chưa thấy trả lời  shop phục vụ rất kém ,1
97, shop này uy tín nè hàng đã đẹp mà còn đầy đủ hộp   pin tặng thêm đeo đồng bọn nó hỏi mua mấy triệu he he chắc nhập hàng của shop về bán lại quá    ,0
98,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn   hàng  giao  dung  mẫu  chọn   chất  vải  dẹp  ,0
99, sản phẩm k như quảng cáo là  liên hệ theo số đt của shop trên vỏ hộp gửi thì thấy tổng đài báo số đt không có hãi vãi  ,1
100,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn giao hàng siu nhanh chỉ có  điểm trừ duy nhất là đậu phộng không được cay cho lắm  ,0
101,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh lại còn được thêm quà tặng kèm   shop phục vụ rất tốt   ,0
102, ngọt wá  cay wá  ướt wá tạm đc  đúng với giá tiền ,1
103, chưa xài nhưng shop nhiệt tình giao hàng nhanh đóng gói đẹp nên cho   ,0
104, mui khoan xài mau lúc qua ,1
106, sản phẩm tốt  mẫu mã đẹp  chất lượng sản phẩm tuyệt vời ,0
107, sản phẩm kém chất lượng độ sáng yếu pin không cầm sáng hoài không tắt công suất w thua bóng w nữa hàng kém chất lượng ,1
108, sản phẩm tốt   xài rất ưng ý  ,0
109,  đóng gói sản phẩm rất đẹp và chắc chắn  tuy nhiên sản phẩm  không đc như mong đợi của mình lắm thời gian giao hàng rất nhanh ,0
110, hạt giống k nảy mầm ,1
111,  chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh shop có tâm máy dùng thích ,0
112, rẻ hơn khi mua sieu thị nè  chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh ,0
113, sp ok lam an uy tin  goi  hang can  than  giao hang nhanh ,0
114,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh ns chung sp bên shop giá mềm hàng đẹp e sẽ ủng hộ shop nhiều hơn😁😁 ,0
115, toàn hàng fake  mask rẻ tiền bán hàng có tâm một chút đi ,1
116, hàng  không đúng chất lượng ,1
117,  chất lượng sản phẩm rất kém thô  ,1
118,  chất lượng sản phẩm tuyệt vời giao hàng bao nhanh nhé dù ở tphcm shop ngoài đà nẵng nhưng chỉ mất  ngày kể từ lúc đặt   chúc shop mua may bán đắt ,0
119, san pham tuyet voi   giay ray dep    cho sao luon nha shop ,0
120, mua  cục lap vao  không có tính hiêu   đều  không dùng được ,1
121,  chất lượng sản phẩm rất kém  mua  đôi k vừa  đôi mà kêu size chuẩn  ,1
122,  chất lượng sản phẩm kém luoi bọc quat nhỏ wa  không dung đc ,1
123, giày đẹp quá thể ❤️  ưng lắm lắm  sẽ ủng hộ shop dài dài  💋💋  chất đẹp còn hơn cả ảnh nữa  yêu yêu 💋💋 ,0
124,  shop phục vụ rất tốt thời gian giao hàng rất nhanh chất lượng chưa dùng nên chưa biết hiệu quả k  😘😘 ,0
125,  đóng gói sản phẩm rất đẹp và chắc chắn  chúc shop đắt khách nha 🎉🎉🎉🎉 ,0
126, đồng hồ đẹp lắm chúc shop bán đắt nhé ,0
127,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm tốt shop phục vụ tận tình  ,0
128, vừa sắm em m  thấy nói ngon nhưng mới xài nên chưa đánh giá được   cảm nhận qua  đầm tay  chọn điểm click chính xác  whel lăn  chế độ  trơn và cà nhắc  rất hay   giá    tr  mua của trần anh   hà nôi ,0
129,  ôi cái cấu hình đt   mạnh kinh    ,1
130,  chất lượng sản phẩm rất kém  nhìn hàng vừa nhận mà chỉ mun vứt đi như hàng dùng rồi mà vẫn còn ship dc cho khách  làm ăn thất đức  ,1
131, son rất đẹp thơm mùi trái cây  ,0
132,  đóng gói sản phẩm rất kém bánh tráng như bị ỉu và nghe mùi chua đề nghị bồi thuờng lại cho bên e ,1
133,  đóng gói sản phẩm rất đẹp và chắc chắn  quà tặng kèm siêu dễ thương ah  sẽ còn mua lại  ,0
134, váy nhỏ sao với kích thước bé nhà mình kg đã chon size lớn nhất nhưng vẫn  không vừa    hic ,1
135, bình thường mang  vừa ma giờ mua  mang rộng như  vậy  chất liệu không êm   😖😖 ,1
136,  đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt   chất lượng sản phẩm tuyệt vời  lần sau mình sẽ ủng hộ tiếp   ,0
137,  tuyệt vời ông mặt trời   ,0
138, sản phẩm giống hình   giao hàng nhanh   chất lượng thì chưa biết  ,0
139, giày giống hình nhưng đặt mua màu xám lại giao màu đỏ  không hài lòng ,1
140, giao hàng không có hai miếng hít chỉ có cái giá nhựa không biết phải làm sao    ,1
141, chất lượng sp kém shop phục vụ k nhiệt tình  hàng lỗi shop k cho đổi z cũng nói bảo hành  ,1
143,  khung viền kim loại thì máy chắc chắn hơn rồi  mà có hỗ trợ cả g thì cập nhật kịp thời r  ,0
144, phát sóng mạnh và xa  đáng mua ,0
145, chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn son lên màu chuẩn chất son mịn mượt k khô môi  rất ưng  sẽ ủng hộ shop lần sau  ,0
146, đóng gói max cẩn thận chất lượng khỏi bàn 💯 ,0
147, máy dỏm nâng giá cao lên rồi hạ giá khuyến mãi rất thất vọng ,1
148, rất thơm  mùi dịu ngọt dễ chịu  chị chủ shop dễ thương tư vấn nhiệt tình     ,0
149, mình mua bộ này trong đợt sale k của tiki hàng giao chậm vì bị cháy hàng thì không sao  nhưng chất lượng sp thì khác hoàn toàn so với các lần mình mua trước đó ở siêu thị  dầu gội thì lỏng và không thơm như bình thường hay dùng dầu xả thì có mùi kì lạ chua chua gì đó xộc lên mỗi lần lấy ra dùng nói chung là cảm giác như không phải chính hãng vậy đó  ,1
150, áo đẹp  lông mịn   nói chung là rất ưng ý và rất đáng tiền ,0
152, k như qc jờ mới lắp keu rất bé dc đổi lại thì tốt  ,1
153, giày chất rất ổn giao hàng hơi lâu chút   đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền ,0
154, san pham khac so voi hinh mau quan din dau nhot vai mong ,1
155, đã mua  chưa bít kq ra sao  tuy nhiên  không có ghi shope ở ngoài  bên trong ok thanks  thời gian giao hàng rất nhanh ,0
156, shop giao hàng nhanh  son màu cam sáng nên chất hơi bột lên màu chuẩn và có màu bám lại sau khi chùi  ,0
157, cảm ơn shop giao hàng rất nhanh trong  gói thì m thích gói khô gà lá chanh hơn khô và thơm  sẽ ủng hộ shop thêm đóng gói sản phẩm rất đẹp và chắc chắn ,0
158,  cái này đc đấy  mình thích đồ chính hãng   ,0
160, đặt trong ảnh là lọ thủy tinh  không thấy thương hiệu hay nhãn mác   nhưng giao là lọ nhựa  hiệu hơi lạ   nhưng không sao  viên nghệ ăn dễ ngọt  nghe mùi mật ong đúng   không chắc là hiệu quả vì chỉ mới sử dụng vài viên  nhưng nếu có hiệu quả lần tới sẽ mua tiếp ❤️   ,0
161, kêu tặng  bịch bánh tráng nhưng chỉ đưa  cục kẹo milo  ,1
162,  chất lượng sản phẩm tuyệt vời k ,0
164,  đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh rất đáng tiền shop phục vụ rất tốt shop phục vụ rất tốt rất đáng tiền chất lượng sản phẩm tuyệt vời ,0
165,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn  khá ok ,0
166, mk mua sz  mà giao nhầm sz rộng  không đi đc😡 ,1
167,  chất lượng sản phẩm tốt  đóng gói sản phẩm cẩn thận ,0
168, túi chắc chắn  gói hàng cẩn thận chu đáo ,0
169,  thời gian giao hàng rất nhanh có  áo trùng kiểu ,0
170, sản phẩm mẫu mã đẹp  chất lượng sản phẩm thì chưa đánh giá được vì chưa trải qua sử dụng   shop phục vụ rất tốt  rất nhiệt tình  thời gian giao hàng cũng khá nhanh  ngày đã nhận hàng  đã check  không biết có phải chính hãng hay không  ae xem hình mình update kèm hihi  thanks shop lần sau ủng hộ nữa ,0
171,  chất lượng sản phẩm tuyệt vời đẹp dùng ổn ,0
172,  rất đáng tiền  thời gian giao hàng rất nhanh đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt ,0
173, hàng đẹp tuyệt vời như hình  mình ở xa mua cũng sợ nhưng shop gửi hàng đẹp không lỗi giày  không nhăn nheo  rất hài lòng  sẽ ủng hộ shop dài dài ạ 😘 ,0
174,  cu thì mua lg v vừa đẹp mà con dư tiền  ,1
175,  đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh  giày đẹp y hình shop đăng  ,0
176, size xl mà kg mặc vừa shop gọi điện thoại tư vấn nhiệt tình và chu đáo nhưng sản phẩm  không giống như mô tả sản phẩm vải đẹp nhưng đường chỉ may vắt sổ còn thừa quá nhiều chỉ ,1
177, không hài lòng đã nhắn shop là gửi đồng hồ mặt nhỏ rồi lại gửi mặt lớn to đeo  không đẹp mà mua  cái rồi đó ,1
178, chuẩn hàng lắm mn ạh    lên tone nhiều    không hề lộ vân gì cả nên đố ai biết 😍  không dính quần áo mình xịt lên quần áo đen cũg k dính  ,0
179, shop gói hàng xinh xắn cẩn thận  đàn nhỏ xinh và âm nghe cũng hay  mình rất hài lòng ,0
180, bộ khung khó sài lên hình méo mó không đẹp ,1
181, đèn leb shop gửi câu lộn dây    gắn vào xe  không sáng đèn    cần lưu ý hàn cho đúng cực âm dương ,1
182, giống hình quảng cáo  đáng tiền ,0
183, rất đáng tiền  đẹp và y như hình  shop phục vụ rất tốt ,0
184, hàng chất lượng tốt  giao hàng nhanh chóng  shop uy tín ,0
185, hang  không thật như hinh ảnh hàng gui là hàng phek  không đúng hàng như shop nói  ,1
186, dầu rất thơm bỏ vào máy phun sương khuếch tán thơm cả phòng luôn  cảm ơn shop đã đem đến một sản phẩm thiết thực ,0
187, giao hàng nhanh sản phẩm đẹp lắm i hình luôn  ,0
188, gương hơi mờshop k rep tn thật sự thất vọng vẽ lem loãng ai mua hàng đừng dựa vào lượng fedback mà mua như mình  ,1
189, xui xui trúng cây  không có miếng lót  không xài đc ,1
190, mình nhập đúng tên và mật khẩu nhưng không vào được ,1
191,  chất lượng sản phẩm tuyệt vời   đóng gói sản phẩm rất đẹp và chắc chắn  đóng gói sản phẩm rất đẹp và chắc chắn ,0
193, chưa xai chưa biet sao  ,0
194,  đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh  chất vải hơi mỏng dày thêm tí nữa thì đẹp ,0
195, led sáng ngon   chất lượng sản phẩm tuyệt vời ,0
196, nói là tích điện nhưng sạc điện không vô      theo mình các bạn không nên mua sản phẩm này mua về tốn tiền mà không sử dụng đượcbán hàng không có tâm     chất lượng sản phẩm rất kém ,1
197, mua phi ca tien  cau qua kem ,1
199, giao hag z mà cug lộn sai nửa     dat sai  ma giao sai  ak ,1
200, ngon giòn đáng tiền nhưng tiền ship hơi cao     ,0
201, hàng rất tốt  giao hàng rất nhanh  và gói hàng rất cẩn thận cảm ơn shop vì cái giắc dc ,0
202,  chất lượng sản phẩm rất kém mùi nhựa rất hôi độc hại nên không dám cho con ngồi  giờ vứt  xó  mua phí tiền   ,1
203,  đang định lên con aiphone  mà nghe quảng cáo thiếu nhiều thứ quá chắc không mua  tưởng dùng camera kép  tưởng dùng dual pixel  tưởng dùng flash kép  tưởng bỏ home vậy lý  tưởng nhiều thứ nữa  vậy mà giá trên trời  hjc hjc  ,1
204, giày phù hợp giá tiền ,0
205,  đóng gói sản phẩm rất đẹp và chắc chắn  rất đáng tiền  ,0
206, mói dùng mây hôm rât tôt về lâu dài thi chờ xem  trước mắt hàng chất lượng giá rẻ   ,0
207, đẹp mà đường nét tinh tế lắm ,0
208, mọi người nên mua lạp xưởng tươi của shop đi nha rất là ngonvà  không bị ngán nữa trên cả sự mong đợi của mình   đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh ,0
209, rất đáng tiền chất lượng sản phẩm tuyệt vời  thank shop ,0
211, giày làm   chất liệu gì mà hôi quá  ,1
212,  tôi xài m từ lúc mới ra tới giờ   không có lý do gì để đổi máy khác  phần cứng và phần mềm rất tuyệt vời  tôi vô tình làm rớt từ độ cao hơn  m  không dưới  lần mà giờ sử dụng vẫn ok ngoài cái võ bị xước  ,0
213, sản phẩm đẹp  đóng gói chắc chắn  nhưng k có pin dự phòng  ,0
214, kém chất lượngmua phí tiền ,1
216, đúng sản phẩm lắp tháo dễ dàng giao nhanh ,0
217, đã bỏ thích theo dõi fanpage của tiki gỡ ap tiki vì lúc nào phải thấy bản mặt lờ của chi pu ,1
218,  chất lượng sản phẩm tuyệt vời  đồng hồ cứ bị đẹp quá  rồi lại phải mua thêm  cái nữa   😍😍😍 ,0
219,  chất lượng sản phẩm tuyệt vời  mỗi tội đơn vị vận chuyển chậm quá   ngày mới nhận đc     ,0
220, giấy quá mỏng đọc khá là đau đầu  tên riêng dịch ra tiếng việt đọc hơi       mình thấy mọi người khen nhiều nên mới mua thế mà    thất vọng quá    ,1
221, khá là ưng với giá này mua được đôi ntn là quá tuyệt rồi ,0
222, nội dung mình không bàn nữa vì sách mình mua tặng bạn thôi chứ cũng chưa đọc bao giờ nhưng mjk bực kinh khủng vì sách quá bẩn luôn   chưa bao giờ mình bực tiki như vậy luôn ấy     mong là không gặp đợt hàng nào như vậy nữa    ,1
223,  rất đáng tiền  cảm  ơn  sop  nhiều  nha hang  ok lắm  hàng  dùng  đc e sẽ  ủng  hộ  sop  lau  dài   ,0
224,  đóng gói sản phẩm rất đẹp và chắc chắn số đúng chỉ để vào mạng   chứ không dùng để nghe gọi ,0
225, bạn cùng phòng mua shope  có k   mình mua k  mà chất liệu k bằng  mới móc có mấy bộ áo dài đã gãy  tưởng tiki bán hàng uy tín nên chấp nhận mua giá cao hơn  nhưng quá thất vọng  k bao giờ mua và giới thiệu tiki nữa ,1
226, quyển thượng thật sự rất thu hút  tôi như bị cuốn vào những tình huống dễ thương những gặp gỡ đối thoại sinh động  nhưng ấn bản in vẫn không hề có gì khác về dịch thuật để câu từ hay hơn mang tính việt hoá hơn  mà cứ như y hệt trên internet vậy  lẽ ra câu chuyện đã rất hay nếu phần    a lan nhược chi mộng   không quá dài dòng và phức tạp  bây giờ mới thấy kể ra chuyện này tác giả đã lập quá nhiều nhân vật  và để giải quyết hết những gút mắc của họ đã làm câu chuyện càng về sau càng loãng và chán  ,1
227, chưa dùng nên chưa biết chất lượng ntn cho  sao vì shop tư vấn rất nhiệt tình  chúc shop luôn đắt hàng 🌺 ,0
228, sản phẩm tốt ạ ❤️😍 ,0
229, 😆😆giày đẹp lắm luôn  💕 chị chủ shop cũng rất nhiệt tình tư vấn  lại còn chụp ảnh thật sp trước khi gửi nữa chứ  💙mỗi tội size hơi rộng chút thôi 💙  rất đáng tiền ,0
230, mẫu mã y ảnh  hộp bọc cẩn thận ,0
231, hàng tương đối ok  rất đáng tiền ,0
233,  đóng gói sản phẩm rất đẹp và chắc chắn  thời gian giao hàng rất nhanh  date sữa mới tận  ,0
234, san phạm khác voi mo ta  thay  không dung ,1
235,  pin  nhìn thấy nản rồi     ,1
236, shop giao hàng nhanh chất lượng sản phẩm rất đáng tiền cấc bác ạ ,0
237, mình mới mua thấy tiện là có thể sạc pin để cầm đi được sử dụng nhưng vắt đau lắm thay cái cao su của media hoặc unimon thì đỡ đau hơn   nhưng không tự động thả ra phải nhấn nút cứ hút vào liên tục thôi  lâu lâu sử dụng thì được  ,1
238, giày bao êm bao đẹp mình rất thích chắc sẽ ủng hộ shop dài dài  chất lượng sản phẩm tuyệt vời rất đáng tiền ,0
239, ủa chứ bán kính mà không có phụ kiện đi kèm vậy shop ,1
240, trà thơm uống ngon nhưng tiếc là loại hoa dâm bụt chỉ có gói hộp ,0
241, đây là hành động mang tính chất biểu diễn chứ không phải như nhân vật trong clip nói   cần nghiêm khắc với những kiểu đùa như thế này   ,1
242, hàng nguyên seal ngon bổ rẻ chỉ có điều vận chuyển lâu quá  ,0
243,  không biet có ảnh huong sức khoe gia đình k ,1
244,  không hợp khẳu vị cho lắm thời gian giao hàng rất nhanh ,0
245, giày xinh 😗😗😗 vì lí do kĩ thuật nên được tặng thêm một đôi nữa  thích ghê 😍😍😍😍 ,0
246, k nhu mong muon k co qua tang ma viet la co  that vong ,1
247, date mới  giao hàng rất nhanh  shop phục vụ rất tốt rất đáng tiền ,0
248,  chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn máy tuy nhỏ nhưng có võ ạđộ bền thì em chưa dám nói  nhưng nếu có  sao em cũng vote ạ rất cảm ơn shop ,0
249, chất liệu cặp ưng ý và dày dặn kết cấu chắc chắn màu đúng hình quảng cáo  thời gian giao hàng rất nhanh  nói chung rất tốt   ,0
